test_year,initial_cash,final_equity,total_return_pct,max_drawdown_pct,win_rate_pct,closed_trades,benchmark_entry_time,benchmark_entry_price,benchmark_final_close,benchmark_final_equity,benchmark_total_return_pct,benchmark_max_drawdown_pct,alpha_vs_buy_hold_pct
2016,10000.0,13487.81,34.88,-9.4,66.67,12,2016-01-02 00:00:00,434.622,963.743,22129.95,121.3,-28.56,-86.42
2017,10000.0,134646.56,1246.47,-35.51,100.0,1,2017-01-02 00:00:00,998.617,14156.4004,141476.68,1314.77,-35.51,-68.3
2018,10000.0,2914.74,-70.85,-80.38,0.0,1,2018-01-02 00:00:00,13625.0,3742.7004,2741.44,-72.59,-81.53,1.74
2019,10000.0,11829.91,18.3,-14.7,100.0,3,2019-01-02 00:00:00,3849.2163,7193.5991,18651.12,86.51,-48.98,-68.21
2020,10000.0,16412.51,64.13,-13.56,75.0,4,2020-01-02 00:00:00,7202.5513,29001.7207,40185.41,301.85,-51.86,-237.72
2021,10000.0,12563.3,25.63,-53.06,0.0,0,2021-01-02 00:00:00,29376.4551,46306.4453,15731.6,57.32,-53.06,-31.69
2022,10000.0,3365.96,-66.34,-70.08,33.33,9,2022-01-02 00:00:00,47680.9258,16547.4961,3463.53,-65.36,-66.89,-0.98
2023,10000.0,11573.0,15.73,-8.89,62.5,8,2023-01-02 00:00:00,16625.5098,42265.1875,25371.07,153.71,-20.06,-137.98
2024,10000.0,9770.27,-2.3,-5.46,50.0,2,2024-01-02 00:00:00,44187.1406,93429.2031,21101.71,111.02,-26.18,-113.32
2025,10000.0,12738.65,27.39,-15.18,75.0,12,2025-01-02 00:00:00,94416.2891,87508.8281,9249.88,-7.5,-32.15,34.89
2026,10000.0,9568.13,-4.32,-29.69,66.67,3,2026-01-02 00:00:00,88733.0625,75152.1328,8452.53,-15.47,-35.31,11.15
