train_start_year,train_end_year,test_year,train_rows,test_rows,accuracy,precision,recall
2014,2015,2016,422,366,0.4126,0.6182,0.1491
2015,2016,2017,731,365,0.4795,0.6303,0.5429
2016,2017,2018,731,365,0.4438,0.4438,1.0
2017,2018,2019,730,365,0.5123,0.5263,0.2732
2018,2019,2020,730,366,0.4699,0.791,0.2275
2019,2020,2021,731,365,0.5068,0.513,0.9418
2020,2021,2022,731,365,0.4795,0.4412,0.7595
2021,2022,2023,730,365,0.4767,0.8333,0.0966
2022,2023,2024,730,366,0.4399,1.0,0.0097
2023,2024,2025,731,365,0.5479,0.6,0.381
2024,2025,2026,731,116,0.5138,0.5056,0.8333
